,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
149,20200630T00:00:00Z,12800,282,11537,1273765,20809,1240157,43,0,108,2310
150,20200701T00:00:00Z,12850,282,11613,1285231,19526,1252855,50,0,76,-1283
151,20200702T00:00:00Z,12904,282,11684,1295962,19782,1263276,54,0,71,256
152,20200703T00:00:00Z,12967,282,11759,1307761,21560,1273234,63,0,75,1778
153,20200704T00:00:00Z,13030,283,11811,1319521,22321,1284172,63,1,52,761
154,20200705T00:00:00Z,13091,283,11832,1326055,21649,1291317,61,0,21,-672
155,20200706T00:00:00Z,13137,284,11848,1331796,21292,1297367,46,1,16,-357
156,20200707T00:00:00Z,13181,285,11914,1346194,23675,1309338,44,1,66,2383
157,20200708T00:00:00Z,13244,285,11970,1359734,24012,1322479,63,0,56,337
158,20200709T00:00:00Z,13293,287,12019,1371771,23912,1334566,49,2,49,-100
159,20200710T00:00:00Z,13338,288,12065,1384890,23527,1348025,45,1,46,-385
160,20200711T00:00:00Z,13373,288,12144,1396941,22950,1360618,35,0,79,-577
161,20200712T00:00:00Z,13417,289,12178,1402144,21830,1366897,44,1,34,-1120
162,20200713T00:00:00Z,13479,289,12204,1408312,21845,1372988,62,0,26,15
163,20200714T00:00:00Z,13512,289,12282,1420616,24289,1382815,33,0,78,2444
164,20200715T00:00:00Z,13551,289,12348,1431316,23297,1394468,39,0,66,-992
165,20200716T00:00:00Z,13612,291,12396,1441348,23404,1404332,61,2,48,107
166,20200717T00:00:00Z,13672,293,12460,1451017,23110,1414235,60,2,64,-294
167,20200718T00:00:00Z,13711,294,12519,1460204,22923,1423570,39,1,59,-187
168,20200719T00:00:00Z,13745,295,12556,1465299,21953,1429601,34,1,37,-970
169,20200720T00:00:00Z,13771,296,12572,1470193,21302,1435120,26,1,16,-651
170,20200721T00:00:00Z,13816,296,12643,1482390,23864,1444710,45,0,71,2562
171,20200722T00:00:00Z,13879,297,12698,1492071,21751,1456441,63,1,55,-2113
172,20200723T00:00:00Z,13938,297,12758,1500854,21418,1465498,59,0,60,-333
173,20200724T00:00:00Z,13979,298,12817,1510327,20559,1475789,41,1,59,-859
174,20200725T00:00:00Z,14092,298,12866,1518634,19681,1484861,113,0,49,-878
175,20200726T00:00:00Z,14150,298,12890,1522926,19214,1489562,58,0,24,-467
176,20200727T00:00:00Z,14175,299,12905,1526974,18770,1494029,25,1,15,-444
177,20200728T00:00:00Z,14203,300,13007,1537704,20444,1503057,28,1,102,1674
178,20200729T00:00:00Z,14251,300,13069,1547307,19326,1513730,48,0,62,-1118
179,20200730T00:00:00Z,14269,300,13132,1556215,19018,1522928,18,0,63,-308
180,20200731T00:00:00Z,14305,301,13183,1563796,18330,1531161,36,1,51,-688
181,20200801T00:00:00Z,14336,301,13233,1571830,18278,1539216,31,0,50,-52
182,20200802T00:00:00Z,14366,301,13259,1576246,17768,1544112,30,0,26,-510
183,20200803T00:00:00Z,14389,301,13280,1579757,17401,1547967,23,0,21,-367
184,20200804T00:00:00Z,14423,301,13352,1589780,18724,1556633,34,0,72,1323
185,20200805T00:00:00Z,14456,302,13406,1598187,18490,1565241,33,1,54,-234
186,20200806T00:00:00Z,14499,302,13501,1606487,18031,1573957,43,0,95,-459
187,20200807T00:00:00Z,14519,303,13543,1613652,17068,1582065,20,1,42,-963
188,20200808T00:00:00Z,14562,304,13629,1620514,16105,1589847,43,1,86,-963
189,20200809T00:00:00Z,14598,305,13642,1624650,16803,1593249,36,1,13,698
190,20200810T00:00:00Z,14626,305,13658,1628303,16396,1597281,28,0,16,-407
191,20200811T00:00:00Z,14660,305,13729,1637844,17489,1605695,34,0,71,1093
192,20200812T00:00:00Z,14714,305,13786,1646652,17375,1614563,54,0,57,-114
193,20200813T00:00:00Z,14770,305,13817,1654898,17798,1622330,56,0,31,423
194,20200814T00:00:00Z,14873,305,13863,1665084,20132,1630079,103,0,46,2334
195,20200815T00:00:00Z,15039,305,13901,1675296,21618,1638639,166,0,38,1486
196,20200816T00:00:00Z,15318,305,13910,1681787,22005,1644464,279,0,9,387
197,20200817T00:00:00Z,15515,305,13917,1688470,22964,1649991,197,0,7,959
198,20200818T00:00:00Z,15761,306,13934,1697042,25219,1656062,246,1,17,2255
199,20200819T00:00:00Z,16058,306,14006,1715064,31022,1667984,297,0,72,5803
200,20200820T00:00:00Z,16346,307,14063,1734083,34998,1682739,288,1,57,3976
201,20200821T00:00:00Z,16670,309,14120,1754123,38045,1699408,324,2,57,3047
202,20200822T00:00:00Z,17002,309,14169,1775800,42427,1716371,332,0,49,4382
203,20200823T00:00:00Z,17399,309,14200,1791186,47564,1726223,397,0,31,5137
204,20200824T00:00:00Z,17665,309,14219,1804422,47995,1738762,266,0,19,431
205,20200825T00:00:00Z,17945,310,14286,1825837,50362,1757530,280,1,67,2367
206,20200826T00:00:00Z,18265,312,14368,1849506,52795,1778446,320,2,82,2433
207,20200827T00:00:00Z,18706,313,14461,1869579,52041,1798832,441,1,93,-754
208,20200828T00:00:00Z,19077,316,14551,1887717,50711,1817929,371,3,90,-1330
209,20200829T00:00:00Z,19400,321,14765,1909329,54046,1835883,323,5,214,3335
210,20200830T00:00:00Z,19699,323,14903,1924170,58021,1846450,299,2,138,3975
211,20200831T00:00:00Z,19947,324,14973,1937689,57876,1859866,248,1,70,-145
212,20200901T00:00:00Z,20182,324,15198,1959080,56743,1882155,235,0,225,-1133
213,20200902T00:00:00Z,20449,326,15356,1980295,56748,1903098,267,2,158,5
214,20200903T00:00:00Z,20644,329,15529,2000552,55524,1924384,195,3,173,-1224
215,20200904T00:00:00Z,20842,331,15783,2018906,52266,1945798,198,2,254,-3258
216,20200905T00:00:00Z,21010,333,16009,2037045,52077,1963958,168,2,226,-189
217,20200906T00:00:00Z,21177,334,16146,2045935,49621,1975137,167,1,137,-2456
218,20200907T00:00:00Z,21296,336,16297,2051297,47109,1982892,119,2,151,-2512
219,20200908T00:00:00Z,21432,341,16636,2066078,43370,2001276,136,5,339,-3739
220,20200909T00:00:00Z,21588,344,17023,2082234,36533,2024113,156,3,387,-6837
221,20200910T00:00:00Z,21743,346,17360,2099591,33018,2044830,155,2,337,-3515
222,20200911T00:00:00Z,21919,350,17616,2119211,29423,2067869,176,4,256,-3595
223,20200912T00:00:00Z,22055,355,18029,2135457,27826,2085576,136,5,413,-1597
224,20200913T00:00:00Z,22176,358,18226,2143270,27705,2093389,121,3,197,-121
225,20200914T00:00:00Z,22285,363,18489,2151002,27476,2101241,109,5,263,-229
226,20200915T00:00:00Z,22391,367,18878,2164578,27310,2114877,106,4,389,-166
227,20200916T00:00:00Z,22504,367,19310,2178832,25842,2130486,113,0,432,-1468
228,20200917T00:00:00Z,22657,372,19543,2191892,25508,2143727,153,5,233,-334
229,20200918T00:00:00Z,22783,377,19771,2206365,25403,2158179,126,5,228,-105
230,20200919T00:00:00Z,22893,378,19970,2219162,24705,2171564,110,1,199,-698
231,20200920T00:00:00Z,22975,383,20158,2226701,24274,2179452,82,5,188,-431
232,20200921T00:00:00Z,23045,385,20248,2231589,22536,2186008,70,2,90,-1738
233,20200922T00:00:00Z,23106,388,20441,2245112,23222,2198784,61,3,193,686
234,20200923T00:00:00Z,23216,388,20650,2256899,20527,2213156,110,0,209,-2695
235,20200924T00:00:00Z,23341,393,20832,2268999,20782,2224876,125,5,182,255
236,20200925T00:00:00Z,23455,395,20978,2280276,19575,2237246,114,2,146,-1207
237,20200926T00:00:00Z,23516,399,21166,2290345,18508,2248321,61,4,188,-1067
238,20200927T00:00:00Z,23611,401,21248,2296517,18878,2254028,95,2,82,370
239,20200928T00:00:00Z,23661,406,21292,2301303,18587,2259055,50,5,44,-291
240,20200929T00:00:00Z,23699,407,21470,2313044,20056,2269289,38,1,178,1469
241,20200930T00:00:00Z,23812,413,21591,2322999,20596,2278591,113,6,121,540
242,20201001T00:00:00Z,23889,415,21666,2328435,20029,2284517,77,2,75,-567
243,20201002T00:00:00Z,23952,416,21733,2333777,19995,2289830,63,1,67,-34
244,20201003T00:00:00Z,24027,420,21787,2339859,21287,2294545,75,4,54,1292
245,20201004T00:00:00Z,24091,421,21845,2346345,22116,2300138,64,1,58,829
246,20201005T00:00:00Z,24164,422,21886,2352378,22447,2305767,73,1,41,331
247,20201006T00:00:00Z,24239,422,22083,2365433,22737,2318457,75,0,197,290
248,20201007T00:00:00Z,24353,425,22334,2378073,22138,2331582,114,3,251,-599
249,20201008T00:00:00Z,24422,427,22463,2388844,20978,2343444,69,2,129,-1160
250,20201009T00:00:00Z,24476,428,22569,2400233,20699,2355058,54,1,106,-279
251,20201010T00:00:00Z,24548,430,22624,2404684,18982,2361154,72,2,55,-1717
252,20201011T00:00:00Z,24606,432,22693,2410483,19303,2366574,58,2,69,321
253,20201012T00:00:00Z,24703,433,22728,2415610,19192,2371715,97,1,35,-111
254,20201013T00:00:00Z,24805,434,22863,2428771,20124,2383842,102,1,135,932
255,20201014T00:00:00Z,24889,438,23030,2441454,18396,2398169,84,4,167,-1728
256,20201015T00:00:00Z,24988,439,23082,2450739,18262,2407489,99,1,52,-134
257,20201016T00:00:00Z,25035,441,23180,2459426,17355,2417036,47,2,98,-907
258,20201017T00:00:00Z,25108,443,23258,2468527,17318,2426101,73,2,78,-37
259,20201018T00:00:00Z,25199,444,23312,2474529,17781,2431549,91,1,54,463
260,20201019T00:00:00Z,25275,444,23368,2479226,16763,2437188,76,0,56,-1018
261,20201020T00:00:00Z,25333,447,23466,2491311,19379,2446599,58,3,98,2616
262,20201021T00:00:00Z,25424,450,23584,2503491,19493,2458574,91,3,118,114
263,20201022T00:00:00Z,25543,453,23647,2515325,19813,2469969,119,3,63,320
264,20201023T00:00:00Z,25698,455,23717,2528621,20430,2482493,155,2,70,617
265,20201024T00:00:00Z,25775,457,23834,2540679,21888,2493016,77,2,117,1458
266,20201025T00:00:00Z,25836,457,23869,2546146,21682,2498628,61,0,35,-206
267,20201026T00:00:00Z,25955,457,23905,2552264,20763,2505546,119,0,36,-919
268,20201027T00:00:00Z,26043,460,23981,2567587,23003,2518541,88,3,76,2240
269,20201028T00:00:00Z,26146,461,24073,2582960,22904,2533910,103,1,92,-99
270,20201029T00:00:00Z,26271,462,24168,2597978,26148,2545559,125,1,95,3244
271,20201030T00:00:00Z,26385,463,24227,2612231,26373,2559473,114,1,59,225
272,20201031T00:00:00Z,26511,464,24311,2624492,25678,2572303,126,1,84,-695
273,20201101T00:00:00Z,26635,466,24357,2630630,24838,2579157,124,2,46,-840
274,20201102T00:00:00Z,26732,468,24395,2636650,25524,2584394,97,2,38,686
275,20201103T00:00:00Z,26807,472,24510,2649859,25815,2597237,75,4,115,291
276,20201104T00:00:00Z,26924,474,24616,2662260,24255,2611081,117,2,106,-1560
277,20201105T00:00:00Z,27050,475,24735,2673706,25062,2621594,126,1,119,807
278,20201106T00:00:00Z,27195,476,24821,2686314,25629,2633490,145,1,86,567
279,20201107T00:00:00Z,27284,477,24910,2697249,26217,2643748,89,1,89,588
280,20201108T00:00:00Z,27427,478,24968,2702880,25648,2649805,143,1,58,-569
281,20201109T00:00:00Z,27553,480,25029,2709199,25802,2655844,126,2,61,154
282,20201110T00:00:00Z,27653,485,25160,2723960,27855,2668452,100,5,131,2053
283,20201111T00:00:00Z,27799,487,25266,2736534,28688,2680047,146,2,106,833
284,20201112T00:00:00Z,27942,487,25404,2749772,29284,2692546,143,0,138,596
285,20201113T00:00:00Z,28133,488,25537,2761411,30119,2703159,191,1,133,835
286,20201114T00:00:00Z,28338,492,25636,2777289,34692,2714259,205,4,99,4573
287,20201115T00:00:00Z,28546,493,25691,2786878,36378,2721954,208,1,55,1686
288,20201116T00:00:00Z,28769,494,25759,2797691,38314,2730608,223,1,68,1936
289,20201117T00:00:00Z,28998,494,25860,2815755,41202,2745555,229,0,101,2888
290,20201118T00:00:00Z,29311,496,25973,2834362,42688,2762363,313,2,113,1486
291,20201119T00:00:00Z,29654,498,26098,2853843,45525,2778664,343,2,125,2837
292,20201120T00:00:00Z,30017,501,26263,2873443,48143,2795283,363,3,165,2618
293,20201121T00:00:00Z,30403,503,26365,2896746,51345,2814998,386,2,102,3202
