time,City,Confirmed,Death,Recovered,Incidence
271,20200318T00:00:00Z,제주,4,0,2,0.60
272,20200318T00:00:00Z,검역,11,0,0,-
273,20200319T00:00:00Z,합계,8565,91,1947,16.52
274,20200319T00:00:00Z,서울,282,0,58,2.9
275,20200319T00:00:00Z,부산,107,1,58,3.14
276,20200319T00:00:00Z,대구,6241,65,1382,256.15
277,20200319T00:00:00Z,인천,32,0,6,1.08
278,20200319T00:00:00Z,광주,17,0,7,1.17
279,20200319T00:00:00Z,대전,22,0,4,1.49
280,20200319T00:00:00Z,울산,36,0,9,3.14
281,20200319T00:00:00Z,세종,41,0,0,11.98
282,20200319T00:00:00Z,경기,295,3,64,2.23
283,20200319T00:00:00Z,강원,30,1,9,1.95
284,20200319T00:00:00Z,충북,33,0,5,2.06
285,20200319T00:00:00Z,충남,118,0,31,5.56
286,20200319T00:00:00Z,전북,10,0,5,0.55
287,20200319T00:00:00Z,전남,5,0,3,0.27
288,20200319T00:00:00Z,경북,1190,21,275,44.69
289,20200319T00:00:00Z,경남,86,0,29,2.56
290,20200319T00:00:00Z,제주,4,0,2,0.6
291,20200319T00:00:00Z,검역,16,0,0,-
292,20200320T00:00:00Z,합계,8652,94,2233,16.69
293,20200320T00:00:00Z,서울,299,0,64,3.07
294,20200320T00:00:00Z,부산,108,1,60,3.17
295,20200320T00:00:00Z,대구,6275,67,1577,257.54
296,20200320T00:00:00Z,인천,36,0,7,1.22
297,20200320T00:00:00Z,광주,18,0,10,1.24
298,20200320T00:00:00Z,대전,22,0,5,1.49
299,20200320T00:00:00Z,울산,36,0,11,3.14
300,20200320T00:00:00Z,세종,41,0,0,11.98
301,20200320T00:00:00Z,경기,309,3,66,2.33
302,20200320T00:00:00Z,강원,30,1,10,1.95
303,20200320T00:00:00Z,충북,33,0,6,2.06
304,20200320T00:00:00Z,충남,119,0,32,5.61
305,20200320T00:00:00Z,전북,10,0,7,0.55
306,20200320T00:00:00Z,전남,5,0,3,0.27
307,20200320T00:00:00Z,경북,1203,22,340,45.18
308,20200320T00:00:00Z,경남,87,0,33,2.59
309,20200320T00:00:00Z,제주,4,0,2,0.6
310,20200320T00:00:00Z,검역,17,0,0,-
311,20200321T00:00:00Z,합계,8799,102,2612,16.97
312,20200321T00:00:00Z,서울,314,0,64,3.23
313,20200321T00:00:00Z,부산,108,1,67,3.17
314,20200321T00:00:00Z,대구,6344,73,1861,260.37
315,20200321T00:00:00Z,인천,40,0,7,1.35
316,20200321T00:00:00Z,광주,18,0,10,1.24
317,20200321T00:00:00Z,대전,22,0,5,1.49
318,20200321T00:00:00Z,울산,36,0,11,3.14
319,20200321T00:00:00Z,세종,41,0,2,11.98
320,20200321T00:00:00Z,경기,321,3,79,2.42
321,20200321T00:00:00Z,강원,30,1,12,1.95
322,20200321T00:00:00Z,충북,34,0,8,2.13
323,20200321T00:00:00Z,충남,119,0,39,5.61
324,20200321T00:00:00Z,전북,10,0,7,0.55
325,20200321T00:00:00Z,전남,5,0,3,0.27
326,20200321T00:00:00Z,경북,1243,24,395,46.69
327,20200321T00:00:00Z,경남,87,0,40,2.59
328,20200321T00:00:00Z,제주,4,0,2,0.6
329,20200321T00:00:00Z,검역,23,0,0,-
330,20200322T00:00:00Z,합계,8897,104,2909,17.16
331,20200322T00:00:00Z,서울,324,0,64,3.33
332,20200322T00:00:00Z,부산,108,1,69,3.17
333,20200322T00:00:00Z,대구,6387,75,2107,262.14
334,20200322T00:00:00Z,인천,40,0,8,1.35
335,20200322T00:00:00Z,광주,19,0,10,1.3
336,20200322T00:00:00Z,대전,24,0,6,1.63
337,20200322T00:00:00Z,울산,36,0,12,3.14
338,20200322T00:00:00Z,세종,41,0,3,11.98
339,20200322T00:00:00Z,경기,337,3,82,2.54
340,20200322T00:00:00Z,강원,30,1,13,1.95
341,20200322T00:00:00Z,충북,35,0,9,2.19
342,20200322T00:00:00Z,충남,120,0,39,5.65
343,20200322T00:00:00Z,전북,10,0,7,0.55
344,20200322T00:00:00Z,전남,6,0,3,0.32
345,20200322T00:00:00Z,경북,1254,24,432,47.1
346,20200322T00:00:00Z,경남,88,0,42,2.62
347,20200322T00:00:00Z,제주,4,0,3,0.6
348,20200322T00:00:00Z,검역,34,0,0,-
349,20200323T00:00:00Z,합계,8961,111,3166,17.28
350,20200323T00:00:00Z,서울,330,0,64,3.39
351,20200323T00:00:00Z,부산,109,1,71,3.19
352,20200323T00:00:00Z,대구,6411,82,2305,263.12
353,20200323T00:00:00Z,인천,40,0,8,1.35
354,20200323T00:00:00Z,광주,19,0,10,1.30
355,20200323T00:00:00Z,대전,24,0,6,1.63
356,20200323T00:00:00Z,울산,36,0,17,3.14
357,20200323T00:00:00Z,세종,42,0,3,12.27
358,20200323T00:00:00Z,경기,351,3,88,2.65
359,20200323T00:00:00Z,강원,30,1,14,1.95
360,20200323T00:00:00Z,충북,37,0,9,2.31
361,20200323T00:00:00Z,충남,120,0,44,5.65
362,20200323T00:00:00Z,전북,10,0,7,0.55
